id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2441,"Cozy Artist’s Abode, ENTIRE Home-Wifi,NetFlix +",2680,Emily,,Hennepin,45.00886,-93.23407,Entire home/apt,85,1,228,2019-10-05,1.87,2,175
4534,"Charming, 1 or 2BR + private bath, near downtown",5811,Rachel,,Hennepin,44.94566,-93.35721,Private room,54,2,160,2019-10-06,1.40,1,328
27319,"Parks, Lakes, Downtown, Light rail",117283,Keith,,Hennepin,44.91878,-93.23038,Private room,54,2,172,2019-08-27,1.56,2,353
55089,"Minneapolis/Edina ""Cabin"" on Creek",238546,Leslie,,Hennepin,44.92053,-93.35049,Entire home/apt,150,2,31,2019-10-03,0.35,2,284
60977,Attic Loft with organic breakfast,294621,Habib,,Ramsey,44.948,-93.19037,Entire home/apt,65,3,20,2016-08-07,0.20,1,42
67872, MPLS Metro Lakeside Summer Rental,209634,Mike And Maria,,Washington,45.05694,-92.96061,Entire home/apt,385,14,2,2012-07-22,0.02,2,365
68981,Guest Room,111098,Justin,,Hennepin,44.9073,-93.31865,Private room,170,1,0,,,1,365
82439,Rest and Rehearsal Space,117283,Keith,,Hennepin,44.92136,-93.22873,Private room,54,2,17,2019-09-15,0.17,2,0
101034,★ParkFront ★ Walk 2 Downtown ★ Bike Score 98★,529956,MPLSvr Angie,,Hennepin,44.98773,-93.2506,Entire home/apt,457,1,107,2019-09-30,1.20,7,339
117140,"MPLSvr - New, CLEAN & Convenient!",529956,MPLSvr Angie,,Hennepin,44.985,-93.22723,Entire home/apt,100,30,2,2016-03-05,0.02,7,364
151243,"Norwegian Wood Retreat, LLC",728274,Debra,,Sherburne,45.52128,-93.58261,Private room,350,1,29,2019-09-01,0.39,5,306
153430,Two rooms and bath - centrally located,86984,Nan & Scott,,Hennepin,44.92883,-93.27819,Private room,85,2,72,2019-10-13,0.72,1,342
166927,Victory Memorial Pkwy Tudor home close to downtown,795329,Shannyn,,Hennepin,45.01591,-93.3196,Private room,250,2,44,2016-01-21,0.50,1,83
176709,"Private Bedroom, Walk to Saint Paul Campus!",688403,Delia,,Ramsey,44.97611,-93.18981,Private room,75,2,21,2019-10-12,0.27,3,354
178017,Powderhorn home - sleeps four,540710,Leticia,,Hennepin,44.94204,-93.24949,Entire home/apt,79,3,24,2019-07-07,0.40,1,252
183719,"Sunny, spacious South Minneapolis house",875982,Allison,,Hennepin,44.93807,-93.2535,Entire home/apt,60,4,3,2018-05-02,0.03,1,0
195230,Victorian on transit line. Your own private floor.,949211,Lydia,,Ramsey,44.94723,-93.17278,Private room,52,1,117,2019-10-06,5.69,1,138
205356,CLEAN-COZY-CENTRAL (MIDWAY),2645,Sam,,Ramsey,44.96465,-93.16512,Entire home/apt,69,2,210,2019-10-09,2.25,1,205
217402,Heidi House in Heart of Minneapolis,1122705,Heidi,,Hennepin,44.96522,-93.24531,Private room,60,2,269,2019-10-09,3.91,3,345
233598,S&J#06~Studio JetTub&MOA! 11%off Aug/Sep,1207842,Scott & Jenna,,Hennepin,44.94901,-93.34775,Entire home/apt,89,2,12,2018-05-18,0.13,41,364
233600,S&J#05~2+BR  JetTub!MOA! 11%off Aug/Sep!,1207842,Scott & Jenna,,Hennepin,44.9496,-93.3466,Entire home/apt,125,2,10,2018-11-05,0.11,41,364
236978,Sunny 2nd Floor Bedroom & Bath,227787,Andrew & Deb,,Anoka,45.21589,-93.35441,Private room,35,1,19,2019-10-09,0.21,1,59
241674,S&J#08~3BR1ba 11%off June/July,1207842,Scott & Jenna,,Hennepin,44.94113,-93.65714,Entire home/apt,449,2,4,2015-08-17,0.04,41,364
259668,★Skyline Views!★New House by DT★Great For Groups★,529956,MPLSvr Angie,,Hennepin,44.98951,-93.2351,Entire home/apt,310,1,45,2019-08-25,0.51,7,0
317499,The Manor Master Chamber,1233357,Sean,,Ramsey,44.96943,-93.11304,Private room,76,1,244,2019-10-05,2.65,2,330
322640,Charming Uptown Minneapolis apt.,119095,Alison,,Hennepin,44.94303,-93.2943,Entire home/apt,79,3,145,2019-10-10,1.55,1,296
373885,One light rail stop away from the Metrodome!,1881357,Angie,,Hennepin,44.96862,-93.24592,Private room,500,1,0,,,1,365
419915,Arts & Crafts condo with amenities,1181252,David,,Hennepin,44.93686,-93.28917,Private room,60,3,61,2019-06-26,0.68,1,179
420080,S&J#15U~3BR Walk to all! 11% Off Aug/Sep!,1207842,Scott & Jenna,,Hennepin,44.9574,-93.29375,Entire home/apt,295,2,35,2018-10-21,0.40,41,358
436553,S&J#19~5BR3ba VALUE! Blaine 2NE!11%offJuly/Aug,1207842,Scott & Jenna,,Anoka,45.04145,-93.24973,Entire home/apt,415,2,0,,,41,365
469497,S&J#02 ~ Studio Apt Walk2ALL! 11% off Aug/Sep!,1207842,Scott & Jenna,,Anoka,45.04303,-93.24844,Entire home/apt,111,2,12,2019-04-09,0.14,41,364
482236,The Manor Guest Bedroom,1233357,Sean,,Ramsey,44.96969,-93.11154,Private room,52,1,173,2019-10-12,1.94,2,328
505750,Linden Hills 4-BR/3-bath home,1950187,Katie,,Hennepin,44.9287,-93.31029,Entire home/apt,225,2,210,2019-10-06,3.58,2,280
537554,A Stylish Room in a Peaceful House!,2640640,Edna & Fleming,,Hennepin,45.01847,-93.3604,Private room,36,1,28,2019-10-10,0.38,3,365
544048,COZY RETREAT |  bright + comfortable + relaxing,937861,Jennie And Henry,,Hennepin,44.91976,-93.27221,Entire home/apt,108,2,58,2019-09-24,0.66,1,53
573749,Minneapolis/St Paul White Bear Lake,209634,Mike And Maria,,Washington,45.05689,-92.96201,Entire home/apt,125,2,0,,,2,358
634973,Balcony View of Minnehaha Creek,238546,Leslie,,Hennepin,44.92062,-93.3509,Private room,125,2,7,2019-07-31,0.11,2,364
645053,Beautiful Bedroom in Upscale Home,3139588,Teri,,Hennepin,44.95987,-93.44022,Private room,40,365,25,2015-03-06,0.31,1,358
647864,Finca en La Ciudad Farm in the City,889295,Gregory,,Hennepin,44.95401,-93.22826,Private room,45,2,157,2019-10-12,1.84,1,360
649448,Charlie Chaplin at The Outing Lodge,3136568,Carlota,,Washington,45.119,-92.84833,Private room,100,3,1,2015-12-26,0.02,3,350
652550,Albert Einstein at The Outing Lodge,3136568,Carlota,,Washington,45.11704,-92.84772,Private room,100,3,0,,,3,359
671703,2 BR Condo near lakes Uptown East Isles Lowry Hill,3404477,Sarah,,Hennepin,44.95454,-93.29948,Entire home/apt,50,60,1,2014-11-30,0.02,1,365
690032,The Berg House-Elegant City Living,3524969,Svein,,Ramsey,44.94488,-93.12915,Entire home/apt,250,3,41,2019-10-07,0.52,1,326
697236,Beautiful House rental,3505142,Tang,,Hennepin,44.87676,-93.28388,Private room,40,1,63,2019-09-04,0.75,1,365
736336,mpls house for one time sublet,1242114,Alfred,,Hennepin,44.95123,-93.33942,Entire home/apt,250,1,0,,,1,0
741701,Linden Hills Guest Home,3882563,Julie,,Hennepin,44.92112,-93.32223,Entire home/apt,138,2,65,2019-09-22,0.91,2,167
746358,Beautiful Urban Garden Walkout,3905670,Dennie And Kevin,,Hennepin,44.97165,-93.30695,Entire home/apt,135,2,222,2019-09-29,3.24,1,345
752413,Summer Cabin -- Winter Ski Chalet,3718783,Robin,,Washington,44.89864,-92.78765,Entire home/apt,130,2,54,2018-10-18,0.64,1,343
764514,S&J#29Z-12BR4ba5BuslinesDTownNEUniv,1207842,Scott & Jenna,,Anoka,45.04159,-93.24795,Entire home/apt,706,2,0,,,41,364
767749,Cozy House & Close To Everything,4049559,John,,Ramsey,44.96195,-93.17318,Entire home/apt,98,3,7,2017-07-05,0.09,1,253
770745,Fabulous Victorian with amenities,4065675,Peter,,Hennepin,44.96356,-93.28822,Private room,85,2,41,2018-02-05,0.53,1,282
